"","Region","Dataset","TSid","Archive","Category","Proxy","Season","Interp","Direction","PublicationDOI","SourceURL","AgeRange","Resolution","AgeControlN","AgeControlMax","Lat","Lon"
"774","WNA","RainbowLakeBeartooths.Shuman.2016","pdRsQ687U7RBI0qSdyE","LakeSediment","Shoreline (Lake Level)","lakeLevel","Annual","P-E","positive","Shuman and Serravezza (2016)","https://www.ncdc.noaa.gov/paleo/study/28771","12 - 0",50,"Shoreline Dates","Not Available",44.94,-109.5
"775","WNA","RedrockLake.MaherJr.1973","lcRqNrP3cF8Okd3KGC3","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Maher Jr, L.J., 1973. Pollen evidence suggests that climatic changes in the Colorado Rockies during the last 5000 years were out of phase with those in the northeastern United States. In: Abstracts, Ninth Congress International Union for Quaternary Research, 2-10 December 1973, Christchurch, New Zealand (pp. 227-228).","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.4 - 0",240,"10","1900",40.08,-105.54
"776","WNA","RhamnusLake.Brown.2006","WEB4581c605","LakeSediment","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/j.quascirev.2006.02.020","wNAm","11.1 - 0",176,"6","2470",48.63,-123.72
"777","WNA","Ruby.Thompson.1984","OLS_RXjJiwKiDO4","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",40.58,-115.33
"778","WNA","RubyLakeMarshesLakeFranklin.Thompson.1990","pdRUteHT9P1yzhdRamQ","Shoreline","Shoreline (Lake Level)","lakeLevel","Annual","P-E","positive","Thompson et al. (1990; 1992)","https://www.ncdc.noaa.gov/paleo/study/28771","11.4 - 0",904,"Shoreline Dates","Not Available",40.12,-115.49
"779","WNA","Russell.Hubbs.1965","OLS_R28mFojQksk","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",38.05,-118.77
"780","WNA","SchellingsBog.Barron.2004","WEBfde0ea8e","LakeSediment","Pollen (not calibrated)","pollen","Annual","P-E","positive","https://doi.org/10.1016/j.quaint.2016.10.039","https://doi.org/10.25921/3vcw-7793","4.8 - 0",50,"4","2430",40.28,-123.36
"781","WNA","SchellingsBog.Barron.2004","WEB62272ffc","LakeSediment","Pollen (not calibrated)","pollen","Annual","P-E","positive","https://doi.org/10.1016/j.quaint.2016.10.039","https://doi.org/10.25921/3vcw-7793","4.8 - 0",50,"4","2430",40.28,-123.36
"782","WNA","Searles.Stuiver.1964","OLS_RfD6MNlONoM","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",35.6,-117.7
"783","WNA","SecretValleyMarsh.West.2000","lcRVjgMr8niCWzlOTrs","Marsh","Pollen (calibrated)","pollen","Annual","P","positive","West, G.J. and McGuire, K.R., 2002. 9,500 years of burning recorded in a high desert marsh. In: Spring-fed Wetlands: Important Scientific and Cultural Resources of the Intermountain Region Conference Proceedings.","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.1 - 0",260,"4","2850",40.57,-120.27
